date,new_cases,new_deaths,I,vaccination_rate,people_vaccinated,people_vaccinated_per_hundred
2022-01-09,5029868.0,11887.0,1,0.7399571428571429,245665492.2857143,73.99571428571429
2022-01-16,5647954.0,13781.0,1,0.7463571428571428,247799374.7142857,74.63571428571429
2022-01-23,4852909.0,15178.0,1,0.7514000000000001,249465090.85714287,75.14
2022-01-30,3659728.0,17683.0,1,0.7554,250796869.14285713,75.53999999999999
2022-02-06,2090872.0,18030.0,1,0.7584428571428571,251808093.85714287,75.8442857142857
2022-02-13,1210730.0,16968.0,1,0.7609285714285715,252638363.57142857,76.09285714285714
2022-02-20,748868.0,15526.0,1,0.7629857142857143,253320988.57142857,76.29857142857144
2022-02-27,457020.0,12989.0,1,0.7647142857142857,253898611.14285713,76.47142857142856
2022-03-06,334243.0,10546.0,1,0.7661714285714286,254373196.7142857,76.61714285714285
2022-03-13,244652.0,8932.0,1,0.7673,254749914.14285713,76.73
2022-03-20,229267.0,6222.0,1,0.7683,255086847.14285713,76.83
2022-03-27,209927.0,5338.0,1,0.7693142857142857,255415361.42857143,76.93142857142857
2022-04-03,199840.0,4571.0,1,0.7703428571428572,255762295.14285713,77.03428571428572
2022-04-10,222773.0,3756.0,1,0.7715714285714286,256173178.14285713,77.15714285714286
2022-04-17,260191.0,3415.0,1,0.7727571428571428,256567516.57142857,77.27571428571427
2022-04-24,331666.0,2481.0,1,0.7738428571428572,256924314.2857143,77.38428571428572
2022-05-01,406829.0,2324.0,1,0.7748285714285714,257253651.42857143,77.48285714285714
2022-05-08,497924.0,4250.0,1,0.7757857142857142,257563428.7142857,77.57857142857142
2022-05-15,642137.0,2069.0,1,0.7766714285714286,257864061.7142857,77.66714285714286
2022-05-22,773298.0,2225.0,1,0.7776285714285714,258181821.14285713,77.76285714285714
2022-05-29,738702.0,2590.0,1,0.7786,258501489.2857143,77.86
2022-06-05,747272.0,1985.0,1,0.7793428571428571,258753806.0,77.9342857142857
2022-06-12,766240.0,2693.0,1,0.7801857142857144,259028140.85714287,78.01857142857143
2022-06-19,682748.0,2048.0,1,0.780942857142857,259280403.7142857,78.0942857142857
2022-06-26,772334.0,2593.0,1,0.7818857142857143,259588522.2857143,78.18857142857142
2022-07-03,745463.0,2512.0,1,0.7831857142857143,260023470.0,78.31857142857143
2022-07-10,795665.0,2288.0,1,0.7841857142857143,260360116.57142857,78.41857142857143
2022-07-17,907802.0,2997.0,1,0.7854142857142856,260766994.42857143,78.54142857142857
2022-07-24,900886.0,3060.0,1,0.7866714285714286,261185541.2857143,78.66714285714285
2022-07-31,869658.0,2988.0,1,0.7878428571428572,261570208.57142857,78.78428571428572
2022-08-07,819727.0,3477.0,1,0.7888714285714286,261911428.85714287,78.88714285714286
2022-08-14,725267.0,3399.0,1,0.7898,262223166.85714287,78.98
2022-08-21,661104.0,3161.0,1,0.7906857142857142,262509629.85714287,79.06857142857143
2022-08-28,630933.0,3338.0,1,0.7914428571428572,262767926.85714287,79.14428571428572
2022-09-04,593720.0,3696.0,1,0.7920857142857143,262985657.14285713,79.20857142857143
2022-09-11,465210.0,2762.0,1,0.7927285714285714,263197046.2857143,79.27285714285713
2022-09-18,429749.0,3079.0,1,0.7938571428571429,263558861.85714287,79.38571428571429
2022-09-25,378896.0,2856.0,1,0.795,263950677.57142857,79.5
2022-10-02,337455.0,3217.0,1,0.7962571428571429,264358492.85714287,79.62571428571428
2022-10-09,278747.0,2893.0,1,0.7974714285714286,264766262.85714287,79.74714285714286
2022-10-16,254265.0,2601.0,1,0.7987285714285715,265184767.7142857,79.87285714285714
2022-10-23,248345.0,2620.0,1,0.8000142857142858,265611930.42857143,80.00142857142858
2022-10-30,255598.0,2586.0,1,0.8012857142857143,266035060.0,80.12857142857142
2022-11-06,289672.0,2471.0,1,0.8024571428571428,266422314.57142857,80.24571428571429
2022-11-13,257892.0,14572.0,1,0.8035571428571429,266784039.7142857,80.35571428571428
2022-11-20,302756.0,1933.0,1,0.8045571428571429,267117593.7142857,80.45571428571428
2022-11-27,261443.0,1966.0,1,0.8053285714285714,267381981.85714287,80.53285714285714
2022-12-04,397835.0,2089.0,1,0.8059999999999999,267603079.85714287,80.60000000000001
2022-12-11,437099.0,3413.0,1,0.806757142857143,267853070.14285713,80.67571428571429
2022-12-18,479455.0,2664.0,1,0.8075142857142856,268101020.0,80.75142857142858
2022-12-25,482808.0,2465.0,1,0.8081571428571428,268320948.85714287,80.8157142857143
2023-01-01,366618.0,2298.0,1,0.8086333333333333,268474541.5,80.86333333333333
