country,date,I_sum,I_mean,I_count,vaccination_rate_mean,vaccination_rate_max,vaccination_rate_min,new_cases_sum,new_cases_mean,new_cases_max,people_vaccinated_mean,people_vaccinated_max
United States,2022-05-15,1,0.14285714285714285,7,0.7622577418173772,0.7626029673204271,0.7618280726691373,604955.0,86422.14285714286,604955.0,257864061.7142857,257980848.0
United States,2022-05-22,1,0.14285714285714285,7,0.7631970529522977,0.7635596114357033,0.7627495132458243,734495.0,104927.85714285714,734495.0,258181821.14285713,258304471.0
United States,2022-05-29,1,0.14285714285714285,7,0.7641420063323279,0.7644652903810394,0.7637172070568974,740720.0,105817.14285714286,740720.0,258501489.2857143,258610853.0
United States,2022-06-05,1,0.14285714285714285,7,0.7648878658661287,0.7651970504253015,0.764482609848047,675627.0,96518.14285714286,675627.0,258753806.0,258858400.0
United States,2022-06-12,1,0.14285714285714285,7,0.7656988120185988,0.7659830154647026,0.7653305986213196,741044.0,105863.42857142857,741044.0,259028140.85714287,259124284.0
United States,2022-06-19,1,0.14285714285714285,7,0.7664445123482677,0.7667003647901284,0.7661023805573407,672256.0,96036.57142857143,672256.0,259280403.7142857,259366956.0
United States,2022-06-26,1,0.14285714285714285,7,0.7673553246767006,0.7678467130861885,0.7668096468136485,709637.0,101376.71428571429,709637.0,259588522.2857143,259754754.0
United States,2022-07-03,1,0.14285714285714285,7,0.7686410496447165,0.7690601902056442,0.7680455366654565,773772.0,110538.85714285714,773772.0,260023470.0,260165261.0
United States,2022-07-10,1,0.14285714285714285,7,0.7696361920217571,0.7700727449539604,0.7690719197917658,743769.0,106252.71428571429,743769.0,260360116.57142857,260507798.0
United States,2022-07-17,1,0.14285714285714285,7,0.7708389412320168,0.7712958026149032,0.7702502022407671,888229.0,126889.85714285714,888229.0,260766994.42857143,260921546.0
United States,2022-07-24,1,0.14285714285714285,7,0.7720761845300921,0.7725119815593879,0.7714954361504709,908695.0,129813.57142857143,908695.0,261185541.2857143,261332967.0
United States,2022-07-31,1,0.14285714285714285,7,0.7732132782941873,0.7735900629547697,0.7726951499249212,947983.0,135426.14285714287,947983.0,261570208.57142857,261697671.0
United States,2022-08-07,1,0.14285714285714285,7,0.7742219407759683,0.774567384604048,0.7737514423134225,788051.0,112578.71428571429,788051.0,261911428.85714287,262028289.0
